sale_id,date,product_code,quantity,unit_price,discount_pct,discount_value,total,payment_type,seller_name
203,2024-01-31,P001,2,3500,3.14,219.8,6780.2,dinheiro,Ana
204,2024-01-31,P003,1,250,10.79,26.97,223.03,cartao_credito,Carla
205,2024-01-31,P001,3,3500,9.19,964.95,9535.05,cartao_credito,Ana
206,2024-01-31,P002,1,50,9.96,4.98,45.02,pix,Carla
207,2024-01-31,P003,2,250,5.45,27.25,472.75,cartao_credito,Diego
208,2024-02-01,P002,2,50,4.79,4.79,95.21,pix,Ana
209,2024-02-01,P002,2,50,1.24,1.24,98.76,pix,Ana
210,2024-02-02,P004,3,900,9.01,243.27,2456.73,dinheiro,Ana
211,2024-02-02,P005,3,180,7.72,41.69,498.31,pix,Carla
212,2024-02-02,P003,2,250,6.49,32.45,467.55,cartao_credito,Bruno
213,2024-02-02,P002,3,50,7.84,11.76,138.24,pix,Ana
214,2024-02-02,P001,2,3500,5.31,371.7,6628.3,cartao_credito,Diego
215,2024-02-02,P005,3,180,0.67,3.62,536.38,dinheiro,Bruno
216,2024-02-02,P001,2,3500,5.48,383.6,6616.4,pix,Bruno
217,2024-02-02,P004,3,900,6.48,174.96,2525.04,pix,Diego
218,2024-02-02,P001,3,3500,3.37,353.85,10146.15,pix,Diego
219,2024-02-03,P003,1,250,2.5,6.25,243.75,pix,Bruno
220,2024-02-03,P004,3,900,2.24,60.48,2639.52,dinheiro,Carla
221,2024-02-03,P003,2,250,10.35,51.75,448.25,cartao_credito,Bruno
222,2024-02-03,P002,1,50,8.53,4.26,45.73,pix,Diego
223,2024-02-04,P001,1,3500,1.27,44.45,3455.55,dinheiro,Carla
224,2024-02-04,P005,1,180,3.61,6.5,173.5,cartao_credito,Ana
225,2024-02-04,P005,3,180,3.75,20.25,519.75,dinheiro,Carla
226,2024-02-04,P002,3,50,8.08,12.12,137.88,dinheiro,Diego
227,2024-02-04,P002,1,50,9.67,4.83,45.16,cartao_credito,Ana
228,2024-02-04,P005,3,180,9.62,51.95,488.05,cartao_credito,Bruno
229,2024-02-04,P005,1,180,7.12,12.82,167.18,dinheiro,Ana
230,2024-02-04,P002,1,50,12.22,6.11,43.89,cartao_credito,Ana
231,2024-02-04,P004,2,900,7.5,135.0,1665.0,pix,Diego
232,2024-02-04,P005,3,180,8.69,46.93,493.07,cartao_credito,Ana
233,2024-02-04,P004,1,900,6.42,57.78,842.22,cartao_credito,Diego
234,2024-02-05,P001,2,3500,2.49,174.3,6825.7,pix,Bruno
235,2024-02-05,P001,1,3500,7.39,258.65,3241.35,dinheiro,Bruno
236,2024-02-06,P004,3,900,6.94,187.38,2512.62,cartao_credito,Ana
237,2024-02-06,P003,1,250,4.96,12.4,237.6,dinheiro,Ana
238,2024-02-06,P004,1,900,4.96,44.64,855.36,dinheiro,Ana
239,2024-02-06,P003,1,250,4.19,10.48,239.53,pix,Bruno
240,2024-02-06,P004,3,900,7.78,210.06,2489.94,pix,Diego
241,2024-02-06,P005,3,180,6.65,35.91,504.09,dinheiro,Bruno
242,2024-02-06,P002,2,50,12.02,12.02,87.98,cartao_credito,Diego
243,2024-02-06,P001,2,3500,9.72,680.4,6319.6,cartao_credito,Carla
244,2024-02-07,P002,3,50,2.22,3.33,146.67,pix,Bruno
245,2024-02-07,P003,1,250,7.45,18.62,231.38,pix,Diego
246,2024-02-07,P002,2,50,0.95,0.95,99.05,pix,Carla
247,2024-02-07,P001,2,3500,2.31,161.7,6838.3,pix,Bruno
248,2024-02-07,P004,1,900,9.41,84.69,815.31,dinheiro,Bruno
249,2024-02-07,P002,3,50,8.9,13.35,136.65,pix,Ana
250,2024-02-08,P001,3,3500,5.88,617.4,9882.6,pix,Bruno
251,2024-02-08,P002,2,50,2.54,2.54,97.46,dinheiro,Carla
252,2024-02-08,P002,3,50,13.18,19.77,130.23,cartao_credito,Diego
253,2024-02-08,P001,2,3500,3.95,276.5,6723.5,pix,Carla
254,2024-02-08,P003,1,250,9.33,23.32,226.68,dinheiro,Bruno
255,2024-02-08,P004,2,900,3.54,63.72,1736.28,cartao_credito,Diego
256,2024-02-08,P004,3,900,0.09,2.43,2697.57,dinheiro,Bruno
257,2024-02-08,P001,2,3500,5.36,375.2,6624.8,cartao_credito,Diego
258,2024-02-09,P002,3,50,8.2,12.3,137.7,pix,Bruno
259,2024-02-09,P004,2,900,6.08,109.44,1690.56,dinheiro,Ana
260,2024-02-09,P004,2,900,3.92,70.56,1729.44,pix,Bruno
261,2024-02-10,P001,1,3500,4.53,158.55,3341.45,pix,Diego
262,2024-02-10,P001,1,3500,11.67,408.45,3091.55,cartao_credito,Diego
263,2024-02-10,P003,2,250,2.07,10.35,489.65,dinheiro,Diego
264,2024-02-10,P001,3,3500,0.79,82.95,10417.05,dinheiro,Ana
265,2024-02-10,P002,1,50,11.35,5.67,44.33,cartao_credito,Diego
266,2024-02-10,P001,2,3500,8.85,619.5,6380.5,dinheiro,Diego
267,2024-02-10,P005,3,180,14.76,79.7,460.3,cartao_credito,Diego
268,2024-02-10,P003,1,250,6.89,17.23,232.78,cartao_credito,Ana
269,2024-02-11,P004,1,900,14.88,133.92,766.08,cartao_credito,Carla
270,2024-02-11,P004,3,900,1.99,53.73,2646.27,pix,Diego
271,2024-02-11,P003,1,250,11.3,28.25,221.75,cartao_credito,Diego
272,2024-02-11,P005,2,180,2.25,8.1,351.9,dinheiro,Bruno
273,2024-02-11,P002,1,50,4.08,2.04,47.96,cartao_credito,Diego
274,2024-02-11,P003,3,250,8.06,60.45,689.55,pix,Diego
275,2024-02-11,P003,3,250,2.5,18.75,731.25,dinheiro,Bruno
276,2024-02-11,P005,3,180,2.73,14.74,525.26,pix,Bruno
277,2024-02-11,P002,3,50,5.56,8.34,141.66,pix,Ana
278,2024-02-11,P001,2,3500,8.16,571.2,6428.8,pix,Carla
279,2024-02-12,P002,3,50,5.53,8.29,141.71,cartao_credito,Ana
280,2024-02-12,P005,2,180,8.85,31.86,328.14,pix,Ana
281,2024-02-12,P005,2,180,7.12,25.63,334.37,dinheiro,Bruno
282,2024-02-12,P005,1,180,1.88,3.38,176.62,cartao_credito,Bruno
283,2024-02-13,P001,2,3500,5.94,415.8,6584.2,pix,Bruno
284,2024-02-13,P002,2,50,4.65,4.65,95.35,cartao_credito,Diego
285,2024-02-13,P003,1,250,2.74,6.85,243.15,dinheiro,Carla
286,2024-02-14,P002,2,50,4.5,4.5,95.5,dinheiro,Bruno
287,2024-02-14,P004,2,900,10.81,194.58,1605.42,cartao_credito,Bruno
288,2024-02-14,P001,1,3500,1.47,51.45,3448.55,pix,Ana
289,2024-02-14,P005,3,180,6.79,36.67,503.33,pix,Bruno
290,2024-02-14,P003,1,250,2.94,7.35,242.65,cartao_credito,Diego
291,2024-02-14,P004,2,900,1.2,21.6,1778.4,pix,Diego
292,2024-02-14,P001,2,3500,9.42,659.4,6340.6,dinheiro,Diego
293,2024-02-14,P001,3,3500,6.86,720.3,9779.7,dinheiro,Bruno
294,2024-02-14,P003,3,250,10.14,76.05,673.95,cartao_credito,Diego
295,2024-02-15,P005,1,180,6.93,12.47,167.53,pix,Ana
296,2024-02-15,P002,1,50,1.88,0.94,49.06,cartao_credito,Diego
297,2024-02-15,P002,2,50,0.79,0.79,99.21,dinheiro,Diego
298,2024-02-15,P004,1,900,12.3,110.7,789.3,cartao_credito,Diego
299,2024-02-15,P001,2,3500,3.68,257.6,6742.4,dinheiro,Bruno
300,2024-02-15,P005,1,180,9.2,16.56,163.44,cartao_credito,Ana
301,2024-02-16,P005,3,180,8.49,45.85,494.15,cartao_credito,Carla
302,2024-02-16,P003,2,250,7.93,39.65,460.35,dinheiro,Bruno
303,2024-02-16,P005,3,180,0.45,2.43,537.57,pix,Bruno
304,2024-02-16,P003,1,250,5.06,12.65,237.35,cartao_credito,Ana
305,2024-02-16,P001,1,3500,2.88,100.8,3399.2,dinheiro,Ana
306,2024-02-16,P005,2,180,6.89,24.8,335.2,cartao_credito,Carla
307,2024-02-16,P002,1,50,12.26,6.13,43.87,cartao_credito,Ana
308,2024-02-16,P002,1,50,4.44,2.22,47.78,cartao_credito,Ana
309,2024-02-16,P003,1,250,10.97,27.43,222.57,cartao_credito,Carla
310,2024-02-17,P005,1,180,5.89,10.6,169.4,cartao_credito,Bruno
311,2024-02-17,P005,2,180,13.75,49.5,310.5,cartao_credito,Ana
312,2024-02-17,P005,3,180,8.49,45.85,494.15,cartao_credito,Ana
313,2024-02-17,P005,1,180,6.42,11.56,168.44,dinheiro,Ana
314,2024-02-17,P004,2,900,0.96,17.28,1782.72,dinheiro,Diego
315,2024-02-17,P003,2,250,12.77,63.85,436.15,cartao_credito,Ana
316,2024-02-17,P005,3,180,13.68,73.87,466.13,cartao_credito,Diego
317,2024-02-17,P001,3,3500,4.63,486.15,10013.85,pix,Ana
318,2024-02-17,P001,1,3500,12.01,420.35,3079.65,cartao_credito,Carla
319,2024-02-17,P003,3,250,5.2,39.0,711.0,dinheiro,Bruno
320,2024-02-17,P001,1,3500,0.94,32.9,3467.1,cartao_credito,Ana
321,2024-02-18,P002,3,50,3.23,4.85,145.16,pix,Ana
322,2024-02-18,P005,2,180,0.63,2.27,357.73,cartao_credito,Bruno
323,2024-02-18,P001,1,3500,10.96,383.6,3116.4,cartao_credito,Bruno
324,2024-02-19,P002,2,50,4.8,4.8,95.2,dinheiro,Diego
325,2024-02-19,P002,1,50,2.01,1.0,48.99,cartao_credito,Carla
326,2024-02-19,P001,2,3500,8.78,614.6,6385.4,pix,Diego
327,2024-02-20,P003,1,250,3.55,8.88,241.12,pix,Carla
328,2024-02-20,P003,1,250,8.85,22.12,227.88,dinheiro,Carla
329,2024-02-20,P003,1,250,1.55,3.88,246.12,dinheiro,Ana
330,2024-02-20,P001,1,3500,2.72,95.2,3404.8,dinheiro,Bruno
331,2024-02-20,P004,3,900,9.99,269.73,2430.27,pix,Diego
332,2024-02-21,P005,1,180,5.56,10.01,169.99,dinheiro,Carla
333,2024-02-21,P001,1,3500,4.19,146.65,3353.35,dinheiro,Bruno
334,2024-02-21,P005,2,180,4.06,14.62,345.38,pix,Diego
335,2024-02-21,P005,1,180,3.72,6.7,173.3,pix,Diego
336,2024-02-21,P002,1,50,5.8,2.9,47.1,pix,Carla
337,2024-02-21,P003,2,250,1.21,6.05,493.95,pix,Ana
338,2024-02-21,P004,3,900,3.16,85.32,2614.68,dinheiro,Diego
339,2024-02-21,P005,2,180,10.98,39.53,320.47,cartao_credito,Carla
340,2024-02-21,P003,2,250,5.22,26.1,473.9,dinheiro,Ana
341,2024-02-22,P003,1,250,11.53,28.82,221.18,cartao_credito,Carla
342,2024-02-22,P002,1,50,6.74,3.37,46.63,dinheiro,Diego
343,2024-02-23,P005,3,180,13.24,71.5,468.5,cartao_credito,Ana
344,2024-02-23,P003,2,250,2.9,14.5,485.5,dinheiro,Bruno
345,2024-02-23,P005,3,180,7.28,39.31,500.69,dinheiro,Bruno
346,2024-02-23,P002,1,50,12.01,6.0,43.99,cartao_credito,Bruno
347,2024-02-23,P005,2,180,3.1,11.16,348.84,cartao_credito,Ana
348,2024-02-23,P004,3,900,1.92,51.84,2648.16,dinheiro,Carla
349,2024-02-24,P004,3,900,7.52,203.04,2496.96,cartao_credito,Ana
350,2024-02-24,P002,1,50,3.67,1.83,48.16,pix,Diego
351,2024-02-24,P003,1,250,9.7,24.25,225.75,dinheiro,Ana
352,2024-02-24,P003,3,250,4.52,33.9,716.1,cartao_credito,Bruno
353,2024-02-24,P005,1,180,7.62,13.72,166.28,pix,Ana
354,2024-02-24,P003,1,250,9.51,23.78,226.22,dinheiro,Bruno
355,2024-02-24,P001,1,3500,8.11,283.85,3216.15,dinheiro,Carla
356,2024-02-24,P001,2,3500,9.15,640.5,6359.5,dinheiro,Bruno
357,2024-02-25,P002,3,50,3.72,5.58,144.42,pix,Bruno
358,2024-02-25,P004,2,900,8.84,159.12,1640.88,pix,Carla
359,2024-02-25,P001,1,3500,0.4,14.0,3486.0,dinheiro,Carla
360,2024-02-25,P002,3,50,7.49,11.24,138.76,pix,Carla
361,2024-02-25,P004,3,900,8.32,224.64,2475.36,dinheiro,Carla
362,2024-02-25,P001,2,3500,3.49,244.3,6755.7,pix,Ana
363,2024-02-26,P004,2,900,4.47,80.46,1719.54,dinheiro,Ana
